Firmware Base Address                0x037fc000
vexDeviceGpsRawGyroGet               0x5dc
vexDeviceGpsRawAccelGet              0x5e0
vexDeviceGpsStatusGet                0x5e4
vexDeviceGpsTemperatureGet           0x5e8
vexDeviceGpsDebugGet                 0x5ec
vexDeviceGpsModeSet                  0x5f0
vexDeviceGpsModeGet                  0x5f4
vexDeviceGpsDataRateSet              0x5f8
vexDeviceGpsOriginSet                0x5fc
vexDeviceGpsOriginGet                0x600
vexDeviceGpsRotationSet              0x604
vexDeviceGpsRotationGet              0x608
vexDeviceGpsInitialPositionSet       0x60c
vexDeviceGpsTestDataSet              0x610
vexDeviceGpsErrorGet                 0x614
vexDisplayForegroundColor            0x640
vexDisplayBackgroundColor            0x644
vexDisplayErase                      0x648
vexDisplayScroll                     0x64c
vexDisplayScrollRect                 0x650
vexDisplayCopyRect                   0x654
vexDisplayPixelSet                   0x658
vexDisplayPixelClear                 0x65c
vexDisplayLineDraw                   0x660
vexDisplayLineClear                  0x664
vexDisplayRectDraw                   0x668
vexDisplayRectClear                  0x66c
vexDisplayRectFill                   0x670
vexDisplayCircleDraw                 0x674
vexDisplayCircleClear                0x678
vexDisplayCircleFill                 0x67c
vexDisplayVPrintf                    0x680
vexDisplayPrintf                     0x680
vexDisplayVString                    0x684
vexDisplayString                     0x684
vexDisplayVStringAt                  0x688
vexDisplayStringAt                   0x688
vexDisplayVBigString                 0x68c
vexDisplayBigString                  0x68c
vexDisplayVBigStringAt               0x690
vexDisplayBigStringAt                0x690
vexDisplayVCenteredString            0x694
vexDisplayCenteredString             0x694
vexDisplayVBigCenteredString         0x698
vexDisplayBigCenteredString          0x698
vexDisplayTextSmoothing              0x69c
vexDisplayTextReference              0x6a0
vexDisplayScreenGrab                 0x6a4
vexDisplayTextSize                   0x6a8
vexDisplayTextSpacing                0x6ac
vexDisplayVSmallStringAt             0x6b0
vexDisplaySmallStringAt              0x6b0
vexDisplayFontNamedSet               0x6b4
vexDisplayForegroundColorGet         0x6b8
vexDisplayBackgroundColorGet         0x6bc
vexDisplayStringWidthGet             0x6c0
vexDisplayStringHeightGet            0x6c4
vexDisplayPenSizeSet                 0x6c8
vexDisplayPenSizeGet                 0x6cc
vexDisplayFontCustomSet              0x6d0
vexDisplayOrientation                0x780
vexDisplayLanguageSet                0x784
vexDisplayStringGet                  0x788
vexDisplayClearVsyncState            0x78c
vexDisplayGetVsyncState              0x790
vexDisplayClipRegionSet              0x794
vexDisplayRotateFlagGet              0x798
vexDisplayThemeIdGet                 0x79c
vexDisplayRender                     0x7a0
vexDisplayDoubleBufferDisable        0x7a4
vexDisplayClipRegionSetWithIndex     0x7a8
vexFileMountSD                       0x7d0
vexFileDirectoryGet                  0x7d4
vexFileOpen                          0x7d8
vexFileOpenWrite                     0x7dc
vexFileOpenCreate                    0x7e0
vexFileClose                         0x7e4
vexFileWrite                         0x7ec
vexFileSize                          0x7f0
vexFileSeek                          0x7f4
vexFileRead                          0x7f8
vexFileDriveStatus                   0x7fc
vexFileTell                          0x800
vexFileSync                          0x804
vexFileStatus                        0x808
_write_user                          0x820
_read_user                           0x824
_open_user                           0x828
_close_user                          0x82c
_lseek_user                          0x830
_fstat_user                          0x834
_fcntl_user                          0x838
_isatty_user                         0x83c
vexSystemFileReopen                  0x840
vexSerialWriteChar                   0x898
vexSerialWriteBuffer                 0x89c
vexSerialReadChar                    0x8a0
vexSerialPeekChar                    0x8a4
vexSerialEnableRemoteConsole         0x8a8
vexSerialWriteFree                   0x8ac
vexSystemTimerStop                   0x8c0
vexSystemTimerClearInterrupt         0x8c4
vexSystemTimerReinitForRtos          0x8c8
vexSystemApplicationIRQHandler       0x8cc
vexSystemWatchdogReinitRtos          0x8d0
vexSystemWatchdogGet                 0x8d4
vexSystemTimerCallbackInstall        0x8d8
vexSystemVSyncCallbackInstall        0x8dc
vexSystemBoot                        0x910
vexSystemUndefinedException          0x914
vexSystemFIQInterrupt                0x918
vexSystemIRQInterrupt                0x91c
vexSystemSWInterrupt                 0x920
vexSystemDataAbortInterrupt          0x924
vexSystemPrefetchAbortInterrupt      0x928
vexTouchUserCallbackSet              0x960
vexTouchDataGet                      0x964
vexAssetsFind                        0x988
vexAssetsDump                        0x98c
vexImageBmpRead                      0x990
vexImagePngRead                      0x994
vexScratchMemoryLock                 0x998
vexScratchMemoryUnlock               0x99c
vexSystemPdataSet                    0x9b0
vexSystemPdataGet                    0x9b4
vexSystemPdataIdGet                  0x9b8
vexSystemPdataFlagsGet               0x9bc
vexSystemAppDataOptionsGet           0x9c0
vexSystemAppDataLinkAddrGet          0x9c4
vexSystemAppDataRes1Get              0x9c8
vexSystemAppExtendedDataGet          0x9cc
vexSystemAppDebugDataGet             0x9d0
vexCompetitionStatus                 0x9d8
vexCompetitionControl                0x9dc
vexBatteryVoltageGet                 0xa00
vexBatteryCurrentGet                 0xa04
vexBatteryTemperatureGet             0xa08
vexBatteryCapacityGet                0xa0c
vexBatteryDataGet                    0xa10
vexBatteryDataSet                    0xa14
vexDeviceEventMaskSet                0xa28
vexDeviceEventMaskGet                0xa2c
vexDeviceEventDataSet                0xa30
vexDeviceEventDataGet                0xa34
vexDeviceEventBitsSet                0xa38
vexDeviceEventBitsGet                0xa3c
vexDeviceGenericSerialEnable         0xa50
vexDeviceGenericSerialBaudrate       0xa54
vexDeviceGenericSerialWriteChar      0xa58
vexDeviceGenericSerialWriteFree      0xa5c
vexDeviceGenericSerialTransmit       0xa60
vexDeviceGenericSerialReadChar       0xa64
vexDeviceGenericSerialPeekChar       0xa68
vexDeviceGenericSerialReceiveAvail   0xa6c
vexDeviceGenericSerialReceive        0xa70
vexDeviceGenericSerialFlush          0xa74
vexDeviceGenericSerialDisableAll     0xa78
vexDeviceGenericSerialCdcRead        0xa7c
vexDeviceGenericRadioConnection      0xaa4
vexDeviceGenericRadioWriteChar       0xaa8
vexDeviceGenericRadioWriteFree       0xaac
vexDeviceGenericRadioTransmit        0xab0
vexDeviceGenericRadioReadChar        0xab4
vexDeviceGenericRadioPeekChar        0xab8
vexDeviceGenericRadioReceiveAvail    0xabc
vexDeviceGenericRadioReceive         0xac0
vexDeviceGenericRadioFlush           0xac4
vexDeviceGenericRadioLinkStatus      0xac8
vexDeviceGenericRadioDebugGet        0xacc
vexDeviceGenericCdcEnable            0xaf0
vexDeviceGenericCdcConnection        0xaf4
vexDeviceGenericCdcWriteChar         0xaf8
vexDeviceGenericCdcWriteFree         0xafc
vexDeviceGenericCdcTransmit          0xb00
vexDeviceGenericCdcReadChar          0xb04
vexDeviceGenericCdcPeekChar          0xb08
vexDeviceGenericCdcReceiveAvail      0xb0c
vexDeviceGenericCdcReceive           0xb10
vexDeviceGenericCdcFlush             0xb14
vexDeviceGenericCdcLinkStatus        0xb18
vexDeviceGenericCdcDebugGet          0xb1c
vexDeviceOpticalIntegrationTimeSet   0xb40
vexDeviceOpticalIntegrationTimeGet   0xb44
vexGzipInflateBuffer                 0xf00
vexGzipInflateBufferRaw              0xf04
vexCdc2Command                       0xf28
vexCdc2ReplyWithoutPacket            0xf2c
vexCdc2SendSimpleMessage             0xf30
vexCdc2SendExtMessage                0xf34
vexTaskAddWithArg                    0xf50
vexTaskAddWithPriorityWithArg        0xf54
vexTaskStopWithId                    0xf58
vexTaskSuspendWithId                 0xf5c
vexTaskResumeWithId                  0xf60
vexTaskPriorityGetWithId             0xf64
vexTaskPrioritySetWithId             0xf68
vexTaskStateGetWithId                0xf6c
vexTaskGetTaskIndexWithId            0xf70
vexBackgroundProcessing              0xf74
vexTaskGet                           0xf7c
vexSystemErrorMessageSet             0xf94
vexSystemFwUpdateRequest             0xf98
vexIntegrityCheck                    0xf9c
